loss,val_loss
0.04757559299468994,0.01429206132888794
0.009185145609080791,0.007624560967087746
0.008307017385959625,0.006701200734823942
0.007401083130389452,0.0062704808078706264
0.00723632238805294,0.005822661332786083
0.006942358333617449,0.0060046943835914135
0.006678125821053982,0.005133768543601036
0.006162628065794706,0.004676126409322023
0.005739571526646614,0.0045372555032372475
0.005199716426432133,0.003801839891821146
0.005133070982992649,0.0033719344064593315
0.0047928523272275925,0.0033611953258514404
0.004654471762478352,0.0034574451856315136
0.004661521874368191,0.0033229966647922993
0.004522043280303478,0.0032852287404239178
0.0044670309871435165,0.003307210747152567
0.004682141821831465,0.0033707907423377037
0.004379283636808395,0.003665296593680978
0.004402083344757557,0.003282745834439993
0.004396507982164621,0.0033121462911367416
0.0044196187518537045,0.0032174817752093077
0.004428408574312925,0.0032558112870901823
0.0041939448565244675,0.003310790518298745
0.004297705367207527,0.003270817920565605
0.00428944593295455,0.0036576346028596163
0.004089212045073509,0.0032600127160549164
0.004169397056102753,0.0033927257172763348
